1,0
1001,10020
2001,40040
3001,90060
4001,160080
5001,250100
6001,360120
7001,490140
8001,640160
9001,810180
1,0
1001,10020
2001,40040
3001,90060
4001,160080
5001,250100
6001,360120
7001,490140
8001,640160
9001,810180
1,0
1001,10020
2001,40040
3001,90060
4001,160080
5001,250100
6001,360120
7001,490140
8001,640160
9001,810180
