100,138.1
200,246.8
300,340.5
1,0
1001,6000
2001,22000
3001,36000
4001,100000
5001,94000
6001,122000
7001,238000
8001,236000
9001,330000
1,0
1001,6000
2001,6000
3001,12000
4001,21000
5001,21000
6001,24000
7001,36000
8001,36000
9001,45000
100,134.1
200,216.4
1,0
1001,28000
2001,0
3001,66000
4001,78000
5001,132000
6001,182000
7001,200000
8001,266000
9001,346000
